customerID,tenure,MonthlyCharges,TotalCharges,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn
CUST00019,10.307512426268712,55.082343326170125,531.6541350089391,Female,Yes,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),Yes
CUST00020,20.801282399128933,90.22829340184629,1853.2462232959683,Female,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,No
CUST00021,1.4435410769058092,39.860189043402315,49.29537270960873,Male,No,No,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,Yes
CUST00022,11.97838108492915,19.830673113774726,184.66229065705306,Male,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),No
CUST00023,0.5388669794349499,19.9173529815138,31.563611173661855,Male,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,Yes
CUST00024,58.097680436585485,60.012499226308215,3492.239447849155,Female,Yes,No,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),No
CUST00025,48.96473758220679,59.5488109726518,2943.352047527415,Male,Yes,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),No
CUST00026,29.364910110716913,54.83916602219463,1538.9304892023863,Female,No,No,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),No
CUST00027,47.44533569473197,98.8661939261989,4751.526936803938,Male,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
CUST00028,1.1737582808046638,30.209542785759368,8.124623736537327,Male,Yes,Yes,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,Yes
CUST00029,72.21319619985162,90.38509454529365,6367.5494383030855,Male,Yes,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No
CUST00030,16.99193899401401,65.06010067115832,1092.0689345390085,Female,No,Yes,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,Yes
CUST00031,71.18261822438109,96.17345822866483,6787.444101146029,Female,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),No
CUST00032,2.0792241357578867,95.71044836988634,181.67954885063034,Male,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),No
CUST00033,27.197667321675613,66.35436098650833,1886.7440867698363,Female,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,No
CUST00034,0.8320248964998633,19.925765748943213,-25.170256014553598,Male,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),No
CUST00035,1.6105725226364487,45.207253278890356,50.86235122158276,Male,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),No
CUST00036,72.07037783679175,99.60897689077997,7263.677146467789,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),No
CUST00037,4.998918889270333,69.63516655169288,288.75683640632377,Male,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes
CUST00038,46.113607007846944,74.58170641042072,3508.4623967521607,Female,No,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),No
CUST00039,34.056478477878265,106.32836247017859,3607.237143295076,Male,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
CUST00040,11.014510573831869,97.98006459465223,1115.115104054883,Female,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes
CUST00041,9.792671246642,49.68409034325681,493.4846790408688,Male,Yes,Yes,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,No
CUST00042,69.92896672634713,69.00706969456253,4850.118879099602,Female,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),No
CUST00043,17.143821153998218,20.459314108764787,399.6889874308847,Female,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,No
CUST00044,62.771261178397495,79.94828119693689,4884.290367629521,Female,No,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),No
CUST00045,13.3232834881783,76.35144463887593,972.4153003406395,Female,Yes,No,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,No
CUST00046,48.71067875417494,84.76682830646315,3897.088407234868,Female,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,No
CUST00047,1.8520046662561451,49.13427964840143,88.91849371707575,Male,No,No,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,No
CUST00048,2.0913722475660825,80.37079402686422,116.7999786762357,Female,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes
CUST00049,52.015527026900706,79.6382073354627,4246.799881129693,Male,No,No,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No
CUST00050,69.2252725978204,64.12530116051748,4229.065680940203,Female,Yes,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),No
CUST00051,42.71909830121353,90.34350018887542,3818.391785193847,Female,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,No
CUST00052,15.240296565641914,99.42370388136253,1410.4421863579132,Female,No,No,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),Yes
CUST00053,24.838997983828325,69.48616247503327,1756.8167774483313,Female,Yes,No,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),No
CUST00054,8.118455124950506,80.25978795708552,651.0046411323591,Female,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),Yes
CUST00055,59.818175249671135,74.5496783198381,4470.146633439486,Female,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),No
CUST00056,18.32406035446685,95.3798817879735,1776.1374685843402,Male,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
CUST00057,62.71040234711977,99.72360293757846,6312.668868948777,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),No
CUST00058,65.76691949458261,108.18912172580734,7080.002298300651,Male,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,No
CUST00059,34.322562762378816,25.232385996810688,902.6599519744319,Female,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),No
CUST00060,71.50532317453609,107.65907331569954,7879.529945790911,Female,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No
CUST00061,46.66192462736352,100.32581223913932,4736.378901510052,Female,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,No
CUST00062,60.519640354399215,90.08119836174737,5409.031268841563,Male,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),No
CUST00063,71.80101550053516,42.41014300888069,2945.5126588805933,Male,Yes,No,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),No
CUST00064,17.98945813443102,54.42350951321234,932.1442745389766,Female,Yes,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),No
CUST00065,9.090846721747933,94.56624116389258,873.7709888637145,Female,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,Yes
CUST00066,3.4845104297593608,74.87474630642599,233.0312706521889,Female,No,No,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No
CUST00067,46.8437335791135,78.7660599332758,3660.458184343603,Male,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,No
CUST00068,31.05868613908082,78.93735557193283,2501.9066853549343,Female,No,No,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,No
CUST00069,50.03138189757221,20.523838561311102,879.3994719973725,Female,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),No
CUST00070,9.756803656219606,80.32535823910388,908.529001353755,Male,No,No,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,No
CUST00071,0.9924632318136257,48.75048784745433,57.43295016269877,Male,No,No,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,No
CUST00072,52.134383864227196,20.19436370319113,1082.1773066133217,Female,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,No
CUST00073,64.2061483755665,111.44397638216465,7111.999556817147,Male,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),No
CUST00074,62.008764205232595,24.494706805164707,1405.3621712584982,Male,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),No
CUST00075,2.786854422189569,64.37562802185562,235.83457072448468,Female,No,Yes,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),No
CUST00076,55.96253562494417,110.29233913111943,6123.9385668467285,Female,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,No
CUST00077,46.10543372406156,55.27423144399647,2695.9663881031743,Female,No,No,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),No
CUST00078,7.703433096884329,54.74599122919519,478.9948887424216,Female,Yes,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,No
CUST00079,29.752065478045814,74.98462098387844,2092.52044484117,Male,No,No,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,No
CUST00080,45.0092376861259,26.053587141798,1164.0664867235296,Female,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),No
CUST00081,1.2123270885646809,79.58187016420929,126.72505462441009,Female,No,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes
CUST00082,10.913912520747811,50.47188013208087,564.4398442861299,Female,Yes,Yes,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,No
CUST00083,6.790050606198224,75.07950036887141,458.2322257882391,Female,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes
CUST00084,41.85315575067618,103.88262483827674,4310.8750256322855,Female,No,No,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),No
CUST00085,49.042224886954756,20.629397092615932,948.2111447026969,Female,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),No
CUST00086,8.688895792765306,99.46698789274286,893.1693546220215,Male,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),No
CUST00087,35.23561014937603,61.798866081691955,2238.742084122206,Female,Yes,No,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),No
CUST00088,48.333401766688276,20.251113227931064,1087.9921000891682,Female,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),No
CUST00089,45.85829233572685,19.675722366489932,952.4680115171802,Female,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,No
CUST00090,29.25780019709025,33.67716658663997,1001.1311796544486,Male,Yes,No,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,No
CUST00091,30.037865973111153,82.2991739557704,2518.478169370475,Male,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),No
CUST00092,1.3526759740298733,74.65688953893965,45.32498916784534,Male,No,No,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,No
CUST00093,65.93956321478609,84.21208841861721,5688.556386526966,Male,Yes,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,No
CUST00094,65.0625181513498,111.08755968690757,7123.698766975524,Female,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),No
CUST00095,71.78059845197929,100.90777109025271,7454.373494529419,Male,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),No
CUST00096,11.961619547035935,78.92942766442215,904.1471237483994,Female,No,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes
CUST00097,71.01254711685658,66.9092698977598,4755.401261477774,Male,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),No
CUST00098,4.810090433120782,20.892594360766807,109.62752751614256,Male,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,Yes
CUST00099,51.878551410076874,21.256533699508868,1080.0669194034176,Male,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),No
CUST00100,25.02483637024291,98.40895803079847,2543.94688161118,Female,Yes,No,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
CUST00101,1.1616374519835946,20.49740764858328,-1.195403700952049,Male,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,No
CUST00102,0.891401666311546,20.15054698014668,19.658353104991985,Female,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,No
CUST00103,38.344907295121274,95.18418427326863,3625.7043684928003,Male,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),No
CUST00104,65.77713082471033,45.73898663406796,3029.0523454528216,Female,Yes,No,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),No
CUST00105,67.98144255039102,109.87405478999192,7630.93013694094,Male,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),Yes
CUST00106,4.679740308945666,24.512412536474343,116.44782753723717,Male,No,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,No
CUST00107,71.99192865039915,104.57765478796242,7296.759953848564,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,No
CUST00108,32.05436819791779,30.367111161750884,925.0419564535055,Female,No,No,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,No
CUST00109,42.77426948832973,94.58404682587607,3917.646862352201,Male,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,No
CUST00110,72.27359740956881,19.491432934476762,1360.3294179574045,Male,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),No
CUST00111,54.83651456774549,97.16215333507465,5242.304744887146,Male,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes
CUST00112,52.00591866690159,57.69303019286307,3037.370448628022,Female,No,No,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),No
CUST00113,43.015525117082376,91.98460940605486,3953.5478381775692,Female,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,No
CUST00114,36.87290211108844,76.72533210840778,2907.810224219639,Female,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes
CUST00115,63.967376640542504,54.38199627909247,3435.0790983292773,Female,Yes,Yes,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,No
CUST00116,2.7094649895017584,89.95755453807928,257.72457947375676,Male,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,No
CUST00117,36.2195192967294,31.270839618251443,1117.7550018131203,Female,No,No,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),No
CUST00118,9.760294103658218,100.82518349187634,1080.1386097491495,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
CUST00119,40.80341145731602,20.065366602699907,831.5870420761509,Female,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,No
CUST00120,26.795428731005174,84.90857373718427,2163.0061482579667,Male,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),No
CUST00121,56.12583938529129,99.871103247449,5523.235471900846,Female,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),No
CUST00122,5.592089686956283,20.170172805895607,117.95060754702932,Female,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,No
CUST00123,2.7486785004105556,74.54991875385538,251.35702040756235,Male,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes
CUST00124,7.3664219960927415,50.56909911643178,352.39546125603806,Female,Yes,Yes,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,No
CUST00125,3.5831357648840605,20.695659470813034,92.60355153321214,Female,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,No
CUST00126,32.86577486243198,88.71891998092482,3063.7016599292506,Male,No,No,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,No
CUST00127,26.924312659722712,78.01227241172673,2164.9199166336352,Female,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,Yes
CUST00128,71.97768916734881,23.522585191235084,1689.9031717830305,Male,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),No
CUST00129,0.6752339324148552,19.85953149240147,7.77120694118474,Male,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,No
CUST00130,70.94835897301586,56.54945614566521,4030.9737046316377,Male,No,No,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,No
CUST00131,13.163731553339446,86.02189725294483,1203.2885836727985,Female,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,No
CUST00132,25.20346935578052,58.69080631703505,1513.6985813355047,Female,Yes,Yes,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),Yes
CUST00133,67.04966096678427,50.90237401532381,3301.544195253526,Male,No,No,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),No
CUST00134,0.9150658613121662,35.379218042414756,56.40776268915834,Male,No,No,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,Yes
CUST00135,2.1472825701981564,44.17683513199381,54.674860631879355,Male,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,Yes
CUST00136,43.15573682449695,25.89767263979293,1218.5658727327393,Female,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),No
CUST00137,22.94609798531946,74.61737365448496,1777.6287593129507,Female,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),No
CUST00138,63.937489734936115,20.14231828848361,1271.3766427418082,Female,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,No
CUST00139,56.701297408630595,19.574840428781062,1156.535756857224,Male,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,No
CUST00140,1.3176211743989488,69.9630084353809,15.53928584337666,Female,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,Yes
CUST00141,71.97905254800446,87.95375589481371,6385.908296675742,Female,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No
CUST00142,8.218796171754324,70.99439014277313,548.643344252392,Female,No,No,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,Yes
CUST00143,61.345259046455375,100.9279556997551,5969.059339244287,Female,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),No
CUST00144,63.427044853269194,84.21495605027235,5311.304764994201,Male,No,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),No
CUST00145,70.84212898055368,23.900852597249035,1751.6553819075436,Male,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),No
CUST00146,64.70589203383673,99.07657678982989,6439.095376969194,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),No
CUST00147,2.9383973886554164,19.68574452393886,112.61884652117999,Male,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,No
CUST00148,1.1088444954683552,45.65191828817019,57.01931685769756,Male,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes
CUST00149,30.12418125110515,64.4258496954841,1923.6382639653941,Male,No,Yes,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),No
CUST00150,15.431653730829515,69.2966934687861,1088.7818723210698,Male,Yes,Yes,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,No
CUST00151,7.960764107502282,67.9213321148905,560.1259814356401,Female,Yes,Yes,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No
CUST00152,6.729219032784334,94.55199055895238,657.8601240347978,Male,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,Yes
CUST00153,69.87979894625518,108.23395122968316,7962.656397250164,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),No
